,apx,apx-na,knapsack,MR,GeRt,GLp,GSw,BIN,BIN_naive,intersection,n_points,apx_reward,apx_cost,apx-na_reward,apx-na_cost,knapsack_reward,knapsack_cost,MR_reward,MR_cost,GLp_reward,GLp_cost,GSw_reward,GSw_cost,GeRt_reward,GeRt_cost,BIN_reward,BIN_cost,BIN_naive_reward,BIN_naive_cost,#BIN
0,1.0,1.0,1.0,1.0,0.0022,1.0,0.2196,1.0,0.2295,10.0,25,3629,14387,3629,14387,3629,14387,3629,14387,3629,14387,797,14982,8,19304,3629,14387,833,13007,18
1,1.0,1.0,1.0,1.0,0.0033,1.0,0.2556,0.9397,0.2906,10.5385,25,4879,13324,4879,13324,4879,13324,4879,13324,4879,13324,1247,14696,16,19500,4585,15590,1418,12569,24
2,1.0,0.996,1.0,1.0,0.004,0.996,0.2206,0.996,0.2448,11.1538,25,2770,14932,2759,13444,2770,14544,2770,14932,2759,13444,611,15100,11,19214,2759,13444,678,678,17
3,1.0,1.0,1.0,1.0,0.0,1.0,0.2151,1.0,0.2808,8.0769,25,1325,15854,1325,14753,1325,15854,1325,15854,1325,14753,285,15308,0,19081,1325,14753,372,372,20
4,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,25,1,22249,1,22249,1,21927,1,22249,1,19948,0,15647,0,19319,1,22249,1,11476,70
5,1.0,1.0,1.0,1.0,0.0,1.0,0.2151,1.0,0.2808,8.0769,25,1325,15854,1325,14753,1325,15854,1325,15854,1325,14753,285,15308,0,19081,1325,14753,372,372,20
6,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.2887,8.0769,25,762,16389,762,15290,762,16389,762,16389,762,15290,0,16213,0,19053,762,15290,220,220,20
7,1.0,1.0,1.0,1.0,0.6738,1.0,0.6738,1.0,0.0,2.6154,25,2600,19559,2600,16263,2600,19609,2600,19559,2600,17185,1752,18106,1752,17607,2600,18184,0,13732,51
8,1.0,1.0,1.0,1.0,0.0,1.0,0.2151,1.0,0.2808,8.0769,25,1325,15854,1325,14753,1325,15854,1325,15854,1325,14753,285,15308,0,19081,1325,14753,372,372,20
9,1.0,1.0,1.0,0.9803,0.3478,1.0,0.2909,0.879,0.4109,10.3846,25,6133,16240,6133,15548,6133,16721,6012,13208,6133,13986,1784,14752,2133,19993,5391,17546,2520,11082,41
10,1.0,0.9986,1.0,0.9937,0.0429,0.9986,0.1504,0.9986,0.282,11.4615,25,6986,15310,6976,13760,6986,14906,6942,12238,6976,13760,1051,15350,300,19015,6976,13760,1970,10885,24
11,1.0,1.0,1.0,0.971,0.4126,1.0,0.4806,0.9401,0.4193,11.3077,25,7852,15187,7852,13576,7852,15747,7624,12203,7852,13576,3774,14360,3240,19610,7382,16281,3292,10741,32
12,1.0,0.9954,1.0,0.9667,0.0534,0.9954,0.2454,0.9954,0.2329,15.3846,25,8842,15370,8801,13117,8842,15219,8548,11661,8801,13117,2170,14508,472,16921,8801,13117,2059,9737,15
13,1.0,0.9981,1.0,0.9464,0.0913,0.9981,0.2116,0.9918,0.343,13.7692,25,11423,14382,11401,11716,11423,13949,10811,10952,11401,11716,2417,11783,1043,17353,11329,13013,3918,10300,19
14,1.0,0.9277,1.0,0.8242,0.5475,0.8252,0.4048,0.76,0.3383,12.8462,25,17353,18058,16098,15112,17353,18058,14302,10999,14320,12924,7025,11232,9500,18722,13188,14041,5871,9035,25
15,1.0,0.9962,1.0,0.865,0.5329,0.9962,0.4511,0.9937,0.246,18.5385,25,21796,11160,21713,7175,21796,11160,18854,7867,21713,7175,9832,4834,11615,12875,21658,8248,5361,5361,13
16,1.0,0.9824,1.0,0.8944,0.3454,0.9824,0.3253,0.9824,0.2696,15.8462,25,15224,16993,14956,10982,15224,15742,13617,9588,14956,10982,4952,9346,5258,19502,14956,10982,4105,4105,16
17,1.0,0.998,1.0,0.911,0.2769,0.998,0.3672,0.998,0.2731,16.0,25,16307,14399,16274,10643,16307,13102,14855,9236,16274,10643,5988,8154,4515,20287,16274,10643,4453,4453,14
18,1.0,0.998,1.0,0.9186,0.2926,0.998,0.3701,0.998,0.2724,15.8462,25,15270,14753,15239,11078,15270,13484,14027,9522,15239,11078,5652,8174,4468,19914,15239,11078,4159,4159,14
19,1.0,0.9981,1.0,0.878,0.2503,0.9401,0.1979,0.9401,0.2536,14.9231,25,14233,17042,14206,14274,14233,16591,12497,10139,13380,11928,2816,9271,3562,19885,13380,11928,3610,3610,16
20,1.0,0.9962,1.0,0.8638,0.5361,0.9962,0.6214,0.995,0.2463,18.5385,25,22186,11047,22101,7029,22186,11047,19165,7783,22101,7029,13786,4473,11894,12800,22075,8080,5464,5464,13
