seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,running_time_avg,running_time_std,all_flights_size_avg,all_flights_size_std
2,10,100,8,10,1,5000,5,0.05,0.5,0,1,33,150,0,0,1,0,0,51.9091,10.3693,4772.59,205.6,5.0303,0.984251,0.0318788,0.0317084,36.0909,5.73095
6,20,100,8,10,1,5000,5,0.05,0.5,0,1,33,150,0,0,1,0,0,81.2121,11.8209,4897.53,130.365,5.66667,1.11803,0.0680909,0.0426053,129.212,11.9072
10,30,100,8,10,1,5000,5,0.05,0.5,0,1,33,150,0,0,1,0,0,111.848,11.5437,4924.18,75.4812,6.66667,1.29904,0.155667,0.0541293,286.848,18.6363
14,40,100,8,10,1,5000,5,0.05,0.5,0,1,33,150,0,0,1,0,0,137.576,16.1226,4928.72,77.8033,6.87879,1.38067,0.384788,0.0985653,498.424,34.6311
18,50,100,8,10,1,5000,5,0.05,0.5,0,1,33,150,0,0,1,0,0,155.152,16.8859,4942.38,46.5628,7.54545,1.41421,0.832394,0.234664,782.03,47.0043
22,60,100,8,10,1,5000,5,0.05,0.5,0,1,33,150,0,0,1,0,0,172.879,15.8247,4965.6,40.2272,8.0,1.29904,1.73391,0.429842,1104.12,52.0012
26,70,100,8,10,1,5000,5,0.05,0.5,0,1,33,150,0,0,1,0,0,188.879,19.4563,4970.37,22.8561,7.93939,1.70477,3.10948,0.654006,1469.88,62.8239
30,80,100,8,10,1,5000,5,0.05,0.5,0,1,33,150,0,0,1,0,0,206.242,18.5338,4968.74,29.0656,8.78788,1.27475,5.80815,0.986491,1932.58,77.0294
34,90,100,8,10,1,5000,5,0.05,0.5,0,1,33,150,0,0,1,0,0,220.848,16.9155,4969.9,28.8322,8.9697,1.43614,9.40039,1.54362,2446.24,101.389
38,100,100,8,10,1,5000,5,0.05,0.5,0,1,33,150,0,0,1,0,0,238.061,16.6244,4974.4,24.2652,9.24242,1.1726,14.5207,3.41742,3035.91,141.603
