seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,running_time_avg,running_time_std,all_flights_size_avg,all_flights_size_std
3,10,100,8,10,1,5000,10,0.05,0.5,0,1,33,150,0,0,1,0,0,46.4848,8.03555,4783.8,214.282,4.93939,1.31101,0.0314848,0.0234429,35.7273,4.91808
7,20,100,8,10,1,5000,10,0.05,0.5,0,1,33,150,0,0,1,0,0,83.7273,10.7188,4845.97,129.939,5.72727,1.39194,0.0894545,0.0462399,128.485,8.82822
11,30,100,8,10,1,5000,10,0.05,0.5,0,1,33,150,0,0,1,0,0,113.576,13.9911,4923.6,66.2103,5.90909,1.58114,0.16403,0.054981,291.394,22.3572
15,40,100,8,10,1,5000,10,0.05,0.5,0,1,33,150,0,0,1,0,0,135.061,17.3312,4922.73,73.7353,6.09091,1.75891,0.354576,0.0744983,494.424,34.1339
19,50,100,8,10,1,5000,10,0.05,0.5,0,1,33,150,0,0,1,0,0,157.606,16.1263,4950.82,40.2327,6.42424,1.56125,0.812182,0.180808,776.485,41.2227
23,60,100,8,10,1,5000,10,0.05,0.5,0,1,33,150,0,0,1,0,0,180.545,19.0855,4941.41,51.1758,6.18182,0.901388,1.57558,0.305038,1082.76,41.7541
27,70,100,8,10,1,5000,10,0.05,0.5,0,1,33,150,0,0,1,0,0,201.182,19.3898,4971.26,33.9398,6.0303,1.26244,3.39152,0.780965,1499.76,71.7946
31,80,100,8,10,1,5000,10,0.05,0.5,0,1,33,150,0,0,1,0,0,229.545,23.1153,4963.14,26.5837,6.87879,1.53093,5.87958,0.885353,1938.03,73.6794
35,90,100,8,10,1,5000,10,0.05,0.5,0,1,33,150,0,0,1,0,0,246.091,19.0532,4972.95,23.3513,6.84848,1.5,9.78558,1.68326,2474.88,106.343
39,100,100,8,10,1,5000,10,0.05,0.5,0,1,33,150,0,0,1,0,0,258.485,20.0361,4967.36,28.9506,6.9697,1.69558,14.1632,1.72554,3010.64,92.9464
