seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,running_time_avg,running_time_std,all_flights_size_avg,all_flights_size_std
0,10,100,8,10,5,2500,5,0.05,0.5,0,4,33,150,30,0,1,0,0,25.0303,6.1972,2336.49,174.497,2.87879,1.13192,0.0483939,0.0913376,15.1212,3.50892
4,20,100,8,10,5,2500,5,0.05,0.5,0,4,33,150,30,0,1,0,0,35.9394,7.88566,2310.02,156.994,3.24242,0.75,0.0284545,0.0160119,46.0,15.7778
8,30,100,8,10,5,2500,5,0.05,0.5,0,4,33,150,30,0,1,0,0,42.5455,6.71328,2387.9,107.351,3.75758,0.984251,0.050697,0.0322553,82.2424,17.4803
12,40,100,8,10,5,2500,5,0.05,0.5,0,4,33,150,30,0,1,0,0,50.2121,7.37715,2426.18,66.5371,3.90909,1.25,0.0754848,0.0442126,143.061,20.4817
16,50,100,8,10,5,2500,5,0.05,0.5,0,4,33,150,30,0,1,0,0,55.3333,8.25631,2422.38,73.4112,4.09091,0.770552,0.108,0.040871,220.576,48.7484
20,60,100,8,10,5,2500,5,0.05,0.5,0,4,33,150,30,0,1,0,0,59.4545,9.39778,2434.4,61.543,4.33333,0.770552,0.131879,0.0509674,307.909,61.8451
24,70,100,8,10,5,2500,5,0.05,0.5,0,4,33,150,30,0,1,0,0,63.2121,8.92594,2450.19,52.756,4.60606,0.968246,0.212303,0.0906485,402.091,82.2783
28,80,100,8,10,5,2500,5,0.05,0.5,0,4,33,150,30,0,1,0,0,65.6667,9.85732,2451.35,44.6403,4.51515,0.883883,0.325182,0.102722,543.242,94.4649
32,90,100,8,10,5,2500,5,0.05,0.5,0,4,33,150,30,0,1,0,0,72.5758,7.96096,2448.11,44.8613,4.78788,0.968246,0.416818,0.140907,645.788,121.545
36,100,100,8,10,5,2500,5,0.05,0.5,0,4,33,150,30,0,1,0,0,73.5152,7.87449,2462.52,37.5237,5.06061,0.829156,0.623697,0.31372,816.273,164.124
